router_id,router_model,mean_power_PSU1,mean_power_PSU2,median_power_PSU1,median_power_PSU2,PSU_capacity,efficiency_PSU1,efficiency_PSU2,inlet_temperature,load_PSU1,load_PSU2
swiWV1,ASR-920-24SZ-M,31.62812050943351,41.95689365912844,32.0,42.0,250,0.8387096774193549,0.8571428571428571,41.0,0.128,0.168
swiIE1,ASR-920-24SZ-M,34.021765628446005,39.65876665896239,34.0,40.0,250,0.7058823529411765,0.9,37.0,0.136,0.16
swiJZ1,ASR-920-24SZ-M,37.004543927987726,37.10060583880511,37.0,37.0,250,0.7222222222222222,1.0,40.0,0.148,0.148
swiXL1,ASR-920-24SZ-M,34.004002066420455,39.00273552677415,34.0,39.0,250,0.7058823529411765,1.0,43.0,0.136,0.156
swiJF2,ASR-920-24SZ-M,36.01555939416701,39.02989372302715,36.0,39.0,250,0.7222222222222222,0.9230769230769232,39.0,0.144,0.156
swiWV2,ASR-920-24SZ-M,35.05681051546635,38.12414836810886,35.0,38.0,250,0.7428571428571429,1.0,45.0,0.14,0.152
swiVQ2,ASR-920-24SZ-M,35.15784489458273,37.49363135855856,35.0,37.19254063,250,0.7222222222222222,0.9473684210526316,39.0,0.14,0.14877016252000003
swiHQ1,ASR-920-24SZ-M,36.07671336512628,37.45169693405498,36.0,37.184446897,250,0.6666666666666666,0.9473684210526316,37.0,0.144,0.148737787588
swiVA1,ASR-920-24SZ-M,35.19779580663767,37.439620652549415,35.0,37.1913707,250,0.7222222222222222,1.0,37.0,0.14,0.1487654828
swiUE1,ASR-920-24SZ-M,36.02121518487137,36.97070254676584,36.0,37.0,250,1.0,0.972972972972973,40.0,0.144,0.148
swiGY2,ASR-920-24SZ-M,40.11319540754228,32.52918344540982,40.0,32.810623527,250,0.951219512195122,0.8125,38.0,0.16,0.13124249410799999
swiSB2,ASR-920-24SZ-M,38.34083023073538,36.000119528421564,38.0,36.0,250,0.9230769230769232,0.6666666666666666,41.0,0.152,0.144
swiBJ1,ASR-920-24SZ-M,33.999000887188096,38.65495746025296,34.0,39.0,250,0.7647058823529411,0.9473684210526316,39.0,0.136,0.156
swiLY2,ASR-920-24SZ-M,35.86559467516639,37.98600091418565,36.0,38.0,250,0.7428571428571429,0.9473684210526316,36.0,0.144,0.152
swiGG1,ASR-920-24SZ-M,34.997757656929345,38.99999633554037,35.0,39.0,250,0.6857142857142857,1.0,38.0,0.14,0.156
swiKF1,ASR-920-24SZ-M,32.94679143630951,39.00002929059146,33.0,39.0,250,0.7878787878787878,0.9230769230769232,44.0,0.132,0.156
swiHQ2,ASR-920-24SZ-M,34.016702792407514,36.96951930566584,34.0,37.0,250,0.7647058823529411,0.7222222222222222,40.0,0.136,0.148
swiJZ2,ASR-920-24SZ-M,36.75884612951462,36.82491959225523,37.0,37.0,250,1.0,0.972972972972973,42.0,0.148,0.148
swiWE2,ASR-920-24SZ-M,33.99999500192862,38.3702604407354,34.0,38.0,250,0.7647058823529411,1.0,36.0,0.136,0.152
swiHF2,ASR-920-24SZ-M,34.00000231663592,36.99973155668396,34.0,37.0,250,0.7647058823529411,1.0,38.0,0.136,0.148
swiZV2,ASR-920-24SZ-M,34.99999459329422,38.01501741348187,35.0,38.0,250,0.6857142857142857,0.9473684210526316,37.0,0.14,0.152
swiZP1,ASR-920-24SZ-M,36.72390321097113,38.338066378813934,36.0,39.0,250,0.6666666666666666,0.9230769230769232,43.0,0.144,0.156
swiSB1,ASR-920-24SZ-M,38.09078735611758,34.97924603787125,38.0,35.0,250,1.0,0.7428571428571429,41.0,0.152,0.14
swiXW2,ASR-920-24SZ-M,37.16031318844395,35.972343121100444,37.0,36.0,250,0.972972972972973,0.6666666666666666,37.0,0.148,0.144
swiWI1,ASR-920-24SZ-M,35.99999753726792,37.00078002026319,36.0,37.0,250,0.7222222222222222,1.0,40.0,0.144,0.148
swiHF1,ASR-920-24SZ-M,34.34915857735849,38.86003569718245,34.0,39.0,250,0.6857142857142857,0.9230769230769232,39.0,0.136,0.156
swiQJ2,ASR-920-24SZ-M,35.02178941613331,36.04349169530237,35.0,36.0,250,0.7647058823529411,0.7222222222222222,32.0,0.14,0.144
swiGW1,ASR-920-24SZ-M,34.45305842878185,36.007489727103454,34.182170313,36.0,250,0.7647058823529411,0.7222222222222222,38.0,0.136728681252,0.144
swiKI2,ASR-920-24SZ-M,35.00020644169528,37.00002491609526,35.0,37.0,250,0.6857142857142857,0.972972972972973,43.0,0.14,0.148
swiWY3,ASR-920-24SZ-M,37.018059333798575,39.50975265513505,37.0,39.815844055,250,0.972972972972973,0.9,37.0,0.148,0.15926337622
